upstream_regulator,logratio,type,activation_state,activation_zscore,pvalue_overlap,target_molecules,mechanistic_network
miR-331-3p (miRNAs w/seed CCCCUGG),NA,mature microrna,NA,0.016,5.14e-5,"ACKR2,ACOT12,ADORA1,AP1M1,C1QTNF1,CAMK2A,CCDC69,CDKN2B,CENPP,CES3,CLIC2,CUBN,DAPK2,DKK2,DUSP5,EFR3B,FAM63B,FKBP5,FNDC5,FRZB,GPR20,GRAMD4,ICOSLG/LOC102723996,INHBE,KANK1,KCNS1,LBH,LEP,LIF,LRRTM2,LSP1,LYPD3,MMP15,MXRA5,NUAK1,OLAH,PCDHGC5,PCYT2,PER1,PHC2,PKDCC,PLB1,POU2F2,RAB11FIP1,RAB11FIP4,RGS6,RNF144B,RSPO1,SOCS1,STUM,SYN2,SYN3,TBX18,TJP2,TNFSF15,TRPV6,TSLP,ZDHHC23,ZHX3",NA
miR-615-5p (and other miRNAs w/seed GGGGUCC),NA,mature microrna,NA,-1.232,5.17e-5,"ACVR1C,ADAMTS14,ADORA1,AFAP1L1,AIF1L,AMOT,BRCA1,C19orf38,C1QTNF1,CCDC71L,CCR1,CORIN,CORO2B,CORO6,DNAJC6,EPHB2,FKBP5,FOXO3,GADD45B,GGT5,GPRC5B,GPX3,GRAMD4,GUCY2D,HIF3A,HRCT1,HSPA12B,IL34,INPP5D,IQCA1,KCNK6,KCTD12,KLF6,KLF9,NKD1,NR4A1,PDE5A,PKNOX2,PREB,PRR5L,PTPRCAP,RAB11FIP1,RAPGEF5,RCOR2,RGS6,RHOB,RND2,SLC19A3,SLC7A5,SORT1,SSH2,STC1,STUM,TGFBR2,TST,WFDC1",NA
miR-4520-3p (miRNAs w/seed UGGACAG),NA,mature microrna,NA,-0.929,5.24e-5,"ABLIM1,AMPH,AQP3,ARHGAP42,ASIC2,C4orf46,CLIC2,COL4A1,CREB5,EDA,GCNT4,GLS,GLUL,GPR68,HIGD1A,KCNQ3,KLF9,LIF,NAV3,NEDD4L,NUAK1,NYNRIN,PXDC1,RAPGEF5,SAMD12,SLC38A2,TCEAL4,TJP2,TMEM200A,TNFSF15,TUBA1A,USP53,VGLL3,ZCCHC5",NA
HIF1A,0.531,transcription regulator,NA,1.257,5.31e-5,"ACTA2,ADAMTS1,ATP2A2,AXIN2,BRCA1,CITED2,CTPS1,CXCL12,CYR61,GADD45B,GCHFR,HIF3A,HMOX1,INHBB,IRS2,LEP,MAFF,NOV,NR4A1,NR4A3,SOX9,TGFB2,TNFRSF11B,VEGFA",224 (21)
miR-340-5p (miRNAs w/seed UAUAAAG),NA,mature microrna,NA,-0.858,5.32e-5,"ABAT,ACSL1,ACVR1C,ADAMTS1,ADAMTS5,ADARB1,ANGPTL1,ARHGAP29,ARMC8,BEGAIN,CAMK2A,CD163,CDON,CIT,CREB5,CSRNP3,DAAM2,DIO2,E2F7,EGR3,ENC1,FAM198B,FGD4,FOXO3,FST,GFPT2,GLUL,IGDCC4,IL12A,INPP5A,JADE1,KCNE3,KCNQ3,LDB2,MAFF,MARCKSL1,MEX3A,MOB3B,MYO16,NCOA3,NID1,NOG,NR4A3,PDK4,PKNOX2,PLEKHG4,REV3L,RPS6KA5,RWDD4,SAMD12,SAMD4A,SCN7A,SGCD,SIPA1L2,SLC6A6,SLC7A14,SMTNL2,SORT1,STX11,SYDE2,TMEM26,TMEM35A,VGLL3",NA
trans-hydroxytamoxifen,NA,chemical drug,NA,1.155,5.34e-5,"BLNK,CXCL12,DUSP1,EGR3,ENC1,INHBB,KLF6,LHFPL2,MMD,STC1,TGFB2,TM4SF1",166 (7)
CBX5,-0.552,transcription regulator,NA,-1.732,5.34e-5,"ALDH3A1,AXIN2,CPA4,FAM198B,GCHFR,MMP7,QPRT,SERPINA3,TCEAL3,TIMP4,TM4SF1,TSPAN8",NA
poly rI:rC-RNA,NA,biologic drug,NA,-0.201,5.56e-5,"ATF3,CCL8,CEBPD,CFLAR,DIO2,DUSP1,DUSP5,GADD45B,GCH1,GDF15,IFIT1,IL12A,IL4I1,KLF6,LIF,NAMPT,NFIL3,NR4A1,NR4A3,SAT1,SOCS1,THBS1,TNFAIP6,TNFRSF11B,TNFSF13B,VCAM1",223 (14)
ATP,NA,chemical - endogenous mammalian,NA,-1.157,5.71e-5,"DUSP1,FOXO1,FOXO3,FZD8,GCLM,GRIN2A,P2RX7,SAT1,THBS1,TSLP,VCAM1",233 (21)
miR-548s (miRNAs w/seed UGGCCAA),NA,mature microrna,NA,-1.299,5.74e-5,"ADARB1,ALOX5AP,AP1M1,ARHGAP42,CCDC69,CFLAR,CIDEC,CILP,CIT,COL4A4,DIO2,ENPP1,FBN2,FKBP5,FRK,GALNT15,GLUL,GPR20,GPRC5B,LSP1,MARCKSL1,MMD,NAMPT,NUAK1,PIK3R3,PRKCE,PTX3,QPRT,RAB11FIP4,RAPGEF5,RNF144B,SLC19A3,SLC6A6,SORL1,TIMP4,TMEM26,TNFSF15,USP53,VASH2,WNT2",NA
miR-3925-5p (miRNAs w/seed AGAGAAC),NA,mature microrna,NA,-0.704,5.79e-5,"AFAP1L2,AHCTF1,ALOX5AP,COL4A3,CSRNP3,EGR2,ERRFI1,FAM196A,GDNF,KALRN,KANK1,KIF18A,MOB3B,NFE2,P2RY14,PDZD2,PER3,PIK3R3,PLCXD3,PRKCE,PSAT1,SLC19A3,SMARCD2,SOX9,SYNPO2,TJP2,TSC22D1",NA
miR-204-5p (and other miRNAs w/seed UCCCUUU),NA,mature microrna,NA,0.156,5.83e-5,"ADAM12,AFAP1L1,AHCTF1,AMOT,ANGPTL1,ARHGAP29,ARMC8,C10orf10,CREB5,CSRNP3,DKK2,DNAJB4,ENDOD1,EPHA5,EPHB2,EPHB6,EVA1C,FABP4,FAM46A,FBN2,FRMD5,GDNF,GRAMD4,GXYLT2,KCNK6,KIAA1755,KLLN,LFNG,METTL7A,MEX3A,NAV3,NUAK1,P2RX7,PAIP2B,POU2F2,PTX3,RNF217,ROBO1,RPS6KA5,RTKN2,SAMD12,SAMD4A,SGCD,SLC7A14,SORT1,SOX4,STEAP4,TENM4,TGFBR2,TMEM26,TPPP,TXNRD1,UBASH3B,WNT2,YPEL4",NA
testosterone,NA,chemical - endogenous mammalian,NA,1.185,5.96e-5,"ACSL1,ADRA2A,ANPEP,CAMK4,FABP4,FGFR2,FST,INHBB,IRS2,LEP,MAOA,MMP7,NGF,PDE5A,PRKCE,SLC6A9,TGFB2,TGFBR2,THBS1,TNFRSF11B,TXNRD1,VCAM1",264 (21)
miR-1470 (miRNAs w/seed CCCUCCG),NA,mature microrna,NA,-1.378,6.06e-5,"ABAT,ACSS1,ADORA1,AFAP1L1,C9orf3,CCDC34,CCDC71L,CDON,CHDH,DAAM2,ENDOD1,EVA1C,FBN2,FKBP5,FSTL3,FZD5,GRAMD3,HIF3A,INHBB,INHBE,INPP5D,ITGA10,KLF6,KLF9,LIF,MCTP1,MEX3A,N4BP3,NCKAP5,NKD1,PCYT2,PLCXD3,RASD2,RGS6,RHOB,RND2,SGCD,SOX4,SSH2,TENM4",NA
miR-4293 (miRNAs w/seed AGCCUGA),NA,mature microrna,NA,-0.241,6.5e-5,"ADAM12,ADARB1,AIF1L,AQP3,ARHGAP28,ARHGEF2,ATP10A,BRCA1,CCDC69,CNIH3,EPHA5,FAM20A,FRK,GPX3,HPS5,IFI44L,LGI3,NOV,NR4A3,PKDCC,PPTC7,PRKAG2,RAMP3,RNF144B,RWDD4,SAMD12,STX11,SYN2,TNFSF9,TNIK,TSPAN32,TUBB,ZCCHC5,ZCCHC6",NA
miR-133a-3p (and other miRNAs w/seed UUGGUCC),NA,mature microrna,NA,-0.389,6.58e-5,"ADAMTS5,ADORA1,AIF1L,ALPK3,AOX1,ATP2A2,CES3,COL1A1,CREB5,CSRNP3,CXCL12,DAAM2,DAPK2,DUSP5,E2F7,ENC1,ENDOD1,FAM198B,FAM46A,FAM46C,FBN2,GALNT15,GCH1,GDNF,GLS,IFI44L,KCNK15,KLF15,KLHL42,LHFPL2,MAFF,MEST,MMP15,NKD1,P2RX7,PCDHGC5,PNPLA2,POU2F2,PRDM1,SGCD,SLC45A1,SLC6A6,SOX4,SOX9,STOM,TGFB2,ZHX3",NA
miR-296-5p (miRNAs w/seed GGGCCCC),NA,mature microrna,NA,0.367,6.63e-5,"ADRA2A,AIF1L,ALPK3,ANG,AP1M1,ARMC8,BDKRB2,CATSPER2,CDON,CENPP,CIT,COL1A1,DAAM2,DAPK2,EFR3B,EPHB3,FAIM2,FAM107A,FAM20A,FAM43A,FAM46C,FBN2,FSTL3,FZD5,GPC2,GPX3,GRAMD4,HAPLN3,HIF3A,ICOSLG/LOC102723996,KCNK15,KCTD12,LEP,LFNG,LGI3,LIF,LMF1,LMO3,LMOD1,MAP3K8,MEX3A,MFGE8,MMP15,MYADM,N4BP3,NKD1,NR4A3,NYNRIN,PHC2,PIEZO2,PSAT1,RAB11FIP4,RAMP3,SCARF1,SCN1B,SERPINA3,SLC6A9,SLC7A14,SLC7A5,SLC7A6,SPTBN4,STUM,SUN2,SYDE2,SYN3,TMEM119,TNFSF15,TPPP,TRNP1,TRPC6,TSLP,TSPAN11,VEGFA,VGLL3,VWCE,WNT2,ZNF821",NA
SMAD1,-0.852,transcription regulator,NA,0.524,6.74e-5,"ACTA2,CDKN2B,COL1A1,COL4A1,GADD45B,SOX9,VEGFA",196 (18)
ethanol,NA,chemical - endogenous mammalian,NA,1.875,6.85e-5,"ACTA2,ADCY8,ADH1C,ALOX15B,ANPEP,ATF3,BRCA1,CAMK4,CEBPD,DUSP1,FAM46A,GRIN2A,HMOX1,PNPLA2,PPP1R1B,RGCC,RHOB,SCD,SYNPO2,TGFB2,TNFAIP6,TSC22D3,VCAM1",229 (21)
INSR,NA,kinase,NA,0.896,6.85e-5,"ACSL1,ALDH6A1,ARHGEF2,ATF3,CORO2B,DUSP1,EGR2,FABP4,GCH1,KLF9,LDB2,LEP,MAOA,MARCKSL1,NAMPT,NGF,PDK4,RHOB,RWDD4,SAT1,TSC22D1,ULK2,VCAM1",219 (20)
sodium arsenite,NA,chemical drug,NA,-0.184,7.09e-5,"CBS/CBSL,FABP4,GADD45B,GCLM,HMOX1,RND2,SOCS1,VEGFA",187 (15)
miR-4701-5p (and other miRNAs w/seed UGGCCAC),NA,mature microrna,NA,-0.563,7.1e-5,"ADAM12,ADAT2,C9orf3,CCDC69,CFLAR,COL4A4,DAAM2,ENDOD1,FAIM2,FAM107A,FBN2,FGD4,FIBIN,FKBP5,FOXO1,FOXO3,FZD5,GALNT15,GPAT3,GRIN2A,IGDCC4,IRS2,KCNQ3,LEP,LHFPL2,LIF,MARCKSL1,MFGE8,NEDD9,P2RX7,PIK3R3,PKD1L2,PLEKHG4,PRDM1,PREB,QPRT,RGS6,RHOJ,ROBO1,SCN1B,SCN7A,SEMA6D,SERPINA3,SLC19A3,SOX9,TMEM26,TNFSF15,TSPAN11,USP53",NA
miR-3083-5p (and other miRNAs w/seed GGCUGGG),NA,mature microrna,NA,-0.986,7.16e-5,"ABAT,ALPK3,AP1M1,APBB2,APCDD1,ARHGEF2,ARMC8,BEGAIN,C7,C9orf3,CCR1,CD302,CDC42EP3,CENPP,CFLAR,CHDH,CORO2B,CPM,CREB5,EPHB2,FAIM2,FAM107A,FSTL3,FZD8,GDNF,GPR68,GRAMD3,HIF3A,HSPA12B,IFI44L,IGDCC4,INHBB,JADE1,KCNE3,KCNS1,KLF6,KLHDC7B,LEP,LIF,LMF1,LMOD1,MAFF,MAOA,MARCKSL1,MXRA5,MYADM,N4BP3,NCOA3,NID1,NKD1,NRXN3,PAIP2B,PKNOX2,PLB1,PLXDC1,PNPLA2,POU2F2,PRDM1,PXDC1,RAPGEF5,RASD2,RGS6,RHOJ,RND2,RRAD,SAMD4A,SLC6A6,SLC6A9,SLC7A5,SMARCD2,SMTNL2,SORBS1,SOX9,STC1,STUM,SULT1C2,SYN2,SYN3,TAGLN,TMEM217,TPPP3,TRNP1,TSPAN11,WARS,YIF1B",NA
miR-3918 (miRNAs w/seed CAGGGCC),NA,mature microrna,NA,-1.348,7.29e-5,"ABHD5,ADAMTS14,ADORA1,AGTRAP,ALPK3,ARSI,ASB5,ATP2A2,AXIN2,BDKRB2,BEGAIN,BRCA1,CALCOCO2,CBS/CBSL,CDON,CIT,CXCL12,CYP24A1,CYTH3,DAAM2,DIO2,E2F7,EDA,EFR3B,ENDOD1,EOGT,EPHB3,GCHFR,GDNF,HRCT1,IGDCC4,IMPA2,INPP5A,JADE1,LEP,LIF,LMF1,LYPD3,MAFF,MAOA,MAP3K8,MFGE8,MMP15,N4BP3,NAV3,NPC1L1,NUAK1,PCYT2,PDLIM5,PIK3R3,PREB,RAB11FIP4,RAMP3,RGS6,SEPT4,SERPINA3,SSH2,STUM,SUN2,SYN3,SYNPO2,TCEAL3,TMEM119,TMEM217,TPPP,TRNP1,TSPAN11,WFDC1,YPEL4,ZNF821",NA
NRG1,NA,other,NA,-0.485,7.37e-5,"ARHGEF2,BRCA1,CDH4,COL1A1,CYR61,DUSP1,EGR2,EGR3,ERRFI1,GDF5,GPX3,HMOX1,NR4A1,NR4A3,PRKG2,SOX4,VEGFA",197 (19)
benzo(a)pyrene,NA,chemical toxicant,NA,-0.762,7.37e-5,"ADAM12,ALDH3A1,BRCA1,CYR61,FST,GCLM,HMOX1,HSPA4L,INHBB,LDB2,MAFF,NR4A1,SGCD,TGFB2,THBS1,TXNRD1,VEGFA",238 (24)
salmonella minnesota R595 lipopolysaccharides,NA,chemical - endogenous non-mammalian,NA,0.728,7.42e-5,"ACSL1,CCL8,CEBPD,CFLAR,CH25H,GDF15,IL12A,MAFF,MT1X,SAMHD1,TSC22D1,VCAM1",171 (14)
thiazolidinedione,NA,chemical drug,Activated,2.213,7.46e-5,"IRS2,NR4A1,NR4A3,PIK3R1,SORBS1",243 (20)
miR-4667-5p (and other miRNAs w/seed CUGGGGA),NA,mature microrna,NA,1.622,7.53e-5,"ADAM12,ADAMTS14,ADARB1,ADRA2A,AIF1L,ARHGEF2,ARMC8,AXIN2,BEGAIN,C4orf46,CHDH,CIDEC,CIT,CITED4,CNIH3,COL1A1,CORO2B,DBP,EDA,EFR3B,EOGT,EPHB3,FAIM2,FAM107A,FGFR2,FKBP5,GALNT15,GDNF,GPX3,HIF3A,ICOSLG/LOC102723996,IMPA2,ITGA10,KCNK15,KCNK6,KCNS1,KIAA1755,KLF6,KLHDC7B,LHFPL2,LMO3,LYPD3,MARCKSL1,MXRA5,MYOZ2,NYNRIN,PAIP2B,PCDHGC5,PER1,PKNOX2,PPP1R1B,RGS6,RHOJ,RND1,RTKN2,SAMD12,SEPT4,SGCD,SLC6A9,SLC7A5,SORT1,TIMP4,TNFSF15,TPPP,TSPAN11,TUBB,ULK2,VASH2",NA
SOX2,NA,transcription regulator,NA,-0.876,7.62e-5,"AMOT,APCDD1,ATF3,AXIN2,BMPER,CITED2,COL1A1,CRABP2,DUSP1,DUSP5,FRZB,FST,GADD45B,KLF6,LRRC4,NOG,PIK3R1,PRDM1,TGFB2,TXNRD1,VEGFA",164 (7)
miR-520a-5p (and other miRNAs w/seed UCCAGAG),NA,mature microrna,NA,0.454,7.77e-5,"ARSI,ASIC2,C10orf10,C4orf46,C9orf3,CDKN2B,CFLAR,CHDH,CHST7,DUSP10,FAM171B,FAM63B,GPM6B,HMOX1,KALRN,LEP,LRRTM2,MOB3B,MPP3,NKD1,PCYT2,PIK3R1,PRDM1,PRKCE,PXDC1,RAMP3,RASEF,RASL11B,RSPO2,SAMD12,SCARF1,SEMA6D,SGCD,SH3GL3,SLC22A23,STON1,STUM,TENM4,TMEM119,TMEM26,TUBB,UBASH3B,VCAM1,VGLL3",NA
NFKB1,NA,transcription regulator,NA,-0.942,7.8e-5,"ADORA1,CD82,COL1A1,DUSP1,HMOX1,ICOSLG/LOC102723996,IL12A,MAP3K8,MMP10,MMP7,NR4A1,POU2F2,PTX3,SOX9,TNFSF15,TSLP,VCAM1,VEGFA",206 (14)
miR-200b-3p (and other miRNAs w/seed AAUACUG),NA,mature microrna,NA,-0.318,7.86e-5,"ABAT,ACVR1C,ATP2A2,CACNB2,CDC42EP3,CDON,CEBPD,CITED2,COL4A3,CREB5,CSRNP3,CYTH3,DUSP1,EGR3,ERRFI1,FAM46C,FGD4,HPS5,KANK1,KCNQ3,KLF9,LFNG,MAMDC2,MEST,MEX3B,MMD,NCOA3,NEDD4L,NEGR1,NKD1,NOG,PDE5A,PKIA,PLPPR4,PPP1CB,PRDM1,PSAT1,PTPN22,RGL1,SCD,SEMA6D,SLC14A1,SLC38A2,SLC6A6,SORT1,SSH2,TBX18,TMEM26,TNFRSF11B,TSC22D1,TUBB,ULK2,VASH2,VEGFA,WASF3",NA
miR-3127-3p (and other miRNAs w/seed CCCCUUC),NA,mature microrna,NA,-1.643,7.97e-5,"ABLIM1,ADAMTS14,ALDH6A1,BDH1,BDKRB2,C19orf38,CACNB2,CAMK2A,CFLAR,CHDH,CPM,CRISPLD2,DAAM2,DAPK2,DIO2,DOK6,DUSP23,EPHB2,FAM46C,FIBIN,GADD45B,GLUL,GPC2,GPR68,IRS2,KANK1,KCND3,KIAA1755,MAFF,MEX3A,MFGE8,NEDD9,NUAK1,PAIP2B,PDPN,PKNOX2,PRKCE,RAP2B,RHOB,SAMD12,SLC6A9,SORBS1,STARD7,SUN2,TGFB2,TLDC2,TSPAN11,TUBB",NA
VDR,NA,transcription regulator,NA,-1.977,8.04e-5,"BRCA1,COL1A1,CYP24A1,IFI44L,LEP,NGF,PNPLA2,SLC51B,SOCS1,TGFB2,TRPV6,TSLP",223 (23)
miR-539-5p (miRNAs w/seed GAGAAAU),NA,mature microrna,NA,-0.587,8.1e-5,"ABHD5,ACVR1C,ADRA1B,C19orf38,CALCOCO2,COL4A3,COL4A4,CREB5,CSRNP3,CYTH3,DNAJC6,E2F7,EDA,FAM20A,FGF14,FKBP5,FOXO3,GPRC5B,IGDCC4,INPP5D,LGR4,LRRC4,MAP3K8,NEIL3,PKNOX2,PPP1CB,PRKAG2,RNF144B,RWDD4,SEMA3A,SGCD,SLC7A14,SOX4,ST8SIA1,STEAP2,SYNPO2,TAGLN,TENM4,TRIM45,ULK2,VASH2,VGLL3",NA
miR-4506 (miRNAs w/seed AAUGGGU),NA,mature microrna,NA,0.085,8.11e-5,"ARMC8,BRCA1,CCDC34,CCDC71L,DNM1,DOK6,EFR3B,FAM46C,FBN2,FKBP5,GPM6B,IGDCC4,JADE1,KANK4,KLF6,KLLN,LMO3,NAMPT,SCD,SGCD,SMTNL2,SOWAHA,TMEM100,TXNRD1,USP53",NA
miR-4755-3p (miRNAs w/seed GCCAGGC),NA,mature microrna,Inhibited,-2.705,8.11e-5,"ACKR2,ADAMTS14,ADARB1,ALPK3,ANPEP,ARHGAP42,C10orf10,C19orf38,C1QTNF1,CACNB2,CBS/CBSL,CCR1,CFLAR,CIDEC,CPA4,CUBN,DAPK2,DMC1,EDA,EFR3B,ENPP1,EPHB2,EPHB3,FAM107A,FAM46A,FAM63B,FGD4,FGFR2,FKBP5,FNDC5,FOXO1,FOXO3,GCLM,GFPT2,GLUL,GPX3,HIF3A,HIGD1A,ICOSLG/LOC102723996,IGDCC4,IL34,INHBE,JADE1,KCNK6,KLF6,LIF,MAFF,METTL7A,MYADM,N4BP3,NEDD9,NKD1,PCYT2,PDLIM5,PDPN,PLB1,PLCXD3,PLEKHG4,PNPLA2,PRKCE,QPRT,RAB11FIP1,RAB11FIP4,RASL11B,RGS6,RHOB,SAMD12,SAMD4A,SLC19A3,SORT1,SOX9,STC1,STX11,SULT1C2,SYN2,TMEM100,TMEM119,TMEM217,TPPP,TUBB,TXNRD1,WARS,XDH",NA
PTGS2,-0.913,enzyme,NA,0.924,8.18e-5,"ANG,BRCA1,CD163,CXCL12,DUSP1,FABP4,GRIN2A,IL12A,LEP,MMP7,PLA2G4A,STC1,TNFAIP6,VEGFA",205 (19)
CD24,NA,other,NA,NA,8.2e-5,"ATF3,DUSP5,EPHB6,GDF15,HMMR,HSD17B6,KIF18A,N4BP3,NCOA3,THBS1,TIMP4",NA
SU1498,NA,chemical - kinase inhibitor,NA,1.067,8.3e-5,"FABP4,TNFRSF11B,VCAM1,VEGFA",160 (14)
"(5-(4-N-methyl-N(2-pyridyl)amino)ethoxy)benzyl thiazolidine-2,4-dione",NA,chemical reagent,NA,1.0,8.3e-5,"CIDEC,COL1A1,FABP4,SCD",NA
miR-3594-5p (and other miRNAs w/seed CCAGGGC),NA,mature microrna,NA,0.437,8.34e-5,"ABAT,ACSS1,ADAMTS14,ADORA1,ADRA2A,AIF1L,AQP3,ARHGAP29,ARHGEF2,ARSI,ASB5,BDKRB2,BRCA1,C1QTNF1,C9orf3,CALCOCO2,CCDC69,CD302,CD82,CDKN2B,CPA4,CPM,CYTH3,DAAM2,EBF1,EFR3B,EPHB6,FAM107A,FKBP5,FNDC5,GCHFR,GFPT2,GRAMD3,GRIN2A,ICOSLG/LOC102723996,KCNK15,KCNK6,KLF9,LIF,LSP1,LYPD3,MARCKSL1,MEX3A,NEDD4L,NKD1,PIFO,PKIA,PKNOX2,PLCXD3,PLXDC1,POU2F2,RAC3,RAPGEF5,RASSF7,RRAD,SAMD12,SAMD4A,SEPT4,SMARCD2,SSH2,STEAP2,STUM,SYN3,TAGLN,TENM4,TMEM119,TMEM217,TMEM37,TPPP,TSPAN11,VWCE,WARS,YPEL4",NA
miR-96-5p (and other miRNAs w/seed UUGGCAC),NA,mature microrna,Inhibited,-3.118,8.35e-5,"ABAT,ADAT2,APBB2,ARHGAP29,ASB5,B3GALT2,BDKRB2,CACNB2,CENPP,CSRNP3,DDAH1,EBF1,EGR3,FAM43A,FGD4,FOXO1,FOXO3,FRZB,FST,GCNT4,GDNF,GPM6B,GPRC5B,HSPA2,INPP5A,LDB2,LMOD1,LRRC4,MAFF,MORF4L2,MTSS1,MYADM,MYO16,NAMPT,NAV3,NR4A3,NUAK1,PIK3R1,PLPPR4,PRKCE,RAP2B,RAPGEF5,RWDD4,SAMD12,SLC22A23,SLC39A10,SLC6A6,SLC6A9,SLC7A14,SLC7A6,SORT1,SSH2,STARD7,SYNPO2,TENM4,TIMP4,TRPC6,TSC22D3,VGLL3,ZHX3",NA
lysophosphatidic acid,NA,chemical - other,NA,1.206,8.49e-5,"ACTA2,CYR61,DUSP1,FABP4,FKBP5,KLF5,LIF,SOCS1,TAGLN,VEGFA",237 (23)
ERBB3,NA,kinase,NA,-1.901,8.49e-5,"ACTA2,COL1A1,CXCL12,DUSP1,HBA1/HBA2,HMOX1,NID1,SERPINA3,THBS1,VEGFA",216 (21)
Lh,NA,complex,NA,-0.021,8.66e-5,"ACTA2,ADAMTS1,ATP2A2,CFLAR,DUSP1,FKBP5,FST,GPRC5B,INHBB,PER1,PTX3,RHOB,TGFB2,THBS1,TNFAIP6,TNFRSF11B,TUBA1A,VEGFA",242 (21)
topotecan,NA,chemical drug,NA,1.979,9.04e-5,"ACSL1,ATF3,CFLAR,CITED2,DUSP5,EGR3,GDF15,HMMR,KALRN,NCKAP5,PHC2,SLC7A5,SOX4,TST,VEGFA",165 (7)
miR-665 (and other miRNAs w/seed CCAGGAG),NA,mature microrna,NA,-0.797,9.31e-5,"ADAMTS14,AFAP1L2,AMPH,AP1M1,APBB2,BATF3,C9orf3,CAMK2A,CDC42EP3,CHDH,CILP,CORO6,CPA4,CXCL12,CYTH3,DOK6,EPHB2,FAM20A,FAM46A,FBN2,FNDC5,GDF5,GPM6B,GRAMD4,HAPLN3,HIF3A,IL34,IMPA2,KIAA1755,LMOD1,LSP1,MAOA,MAP3K8,NEDD9,NKD1,NPAS2,NPC1L1,PHC2,PKNOX2,PLB1,PNPLA2,PRKCE,PRR5L,RASD2,RHOB,SLC51B,STUM,TENM4,TGFBR2,TJP2,TLDC2,TNFSF9,TSPAN11,VWCE,WNT2,ZCCHC6",NA
chloropromazine,NA,chemical drug,NA,1.481,9.33e-5,"C10orf10,NR4A1,NR4A3,SCD,SERPINA3,TAGLN,TSC22D3",NA
IKBKG,NA,kinase,NA,0.514,9.41e-5,"ATP2A2,CCR1,CEBPD,CFLAR,CH25H,CXCL12,GCH1,KLF5,NGF,NID1,PTX3,VEGFA",196 (14)
MAPK1,NA,kinase,NA,0.07,9.61e-5,"ADAM12,ADH1C,ANPEP,ATF3,CHST7,COL7A1,CRABP2,DUSP1,EGR2,ENDOD1,FAM20A,GLS,HBA1/HBA2,HMOX1,IFIT1,LIF,OSBPL3,PLA2G4A,PLXDC1,POU2F2,SAMHD1,SUN2",205 (18)
NR3C2,-0.779,ligand-dependent nuclear receptor,Activated,2.064,9.75e-5,"ADAMTS1,COL1A1,FKBP5,GPX3,KLF9,PTPRCAP,RRAD,SERPINA3,TSC22D3,TUBA4A,VEGFA",272 (19)
miR-2117 (miRNAs w/seed GUUCUCU),NA,mature microrna,NA,-0.264,9.78e-5,"ACSL1,ATP2A2,C9orf3,CIT,CYP24A1,DKK2,EBF1,ENDOD1,ENPP1,EVI2A,LGR4,MAFF,MCHR1,NCOA3,NOG,NR4A3,NYNRIN,PDE5A,PRDM1,RGL1,SEMA3A,SEMA6D,SSH2,ST8SIA1,STEAP4,STX11,TBX18,TMEM100,TNIK,XDH",NA
miR-4421 (and other miRNAs w/seed CCUGUCU),NA,mature microrna,NA,-1.994,9.9e-5,"ACKR2,ADAM12,AXIN2,CALCOCO2,CD163,CFLAR,DDAH1,DIO2,FAM46A,FKBP5,FNDC5,HPS5,ICOSLG/LOC102723996,IFI44L,ITGA10,KCNE3,KCNS1,LEP,LHFPL2,MEST,METTL7A,NRXN3,PDZD2,PKNOX2,POU2F2,RND1,SCARF1,SIGLEC15,SLC19A3,SLC6A6,SORBS1,SPTBN4,STON1,SYNPO2,TEX2,TRPV6,WFDC1",NA
GnRH-A,NA,chemical reagent,NA,1.017,9.92e-5,"ATF3,EGR2,FST,GADD45B,KLF6,NR4A1,PER1,RRAD,SCN1B",130 (10)
HNRNPA2B1,NA,other,NA,NA,9.96e-5,"CACNB2,CIDEC,CRB1,FZD8,GDF15,GPRC5B,INHBB,KCTD12,MEST,MMD,STOM,TGFB2,UBASH3B",NA
prednisolone,NA,chemical drug,NA,0.879,1.02e-4,"CD163,CEBPD,CFLAR,DUSP1,DUSP10,FKBP5,GPX3,IRS2,KCTD12,KLF9,NFIL3,SOCS1,TNFRSF11B,TSC22D3,TUBA4A,ULK2,ZBTB16",264 (18)
Nfat (family),NA,group,NA,0.508,1.03e-4,"CFLAR,CYR61,EGR2,FABP4,KLF6,LBH,RHOJ,SAMD4A,TGFB2,VCAM1",158 (12)
tosedostat,NA,chemical drug,NA,0.0,1.04e-4,"ATF3,CBS/CBSL,PSAT1,SLC38A2,VEGFA,WARS",NA
TCF7L2,NA,transcription regulator,NA,1.676,1.04e-4,"ACSL1,AQP3,AXIN2,CREB5,EVI2A,FGFR2,GCLM,GLUL,GRAMD3,HSPA2,IRS2,LBH,LGI3,LRRN1,MMP7,PPP1R14A,SH3GL3,SLC22A23,SYDE2,TPPP,VEGFA",NA
PDGFB,NA,growth factor,NA,-0.927,1.05e-4,"ACTA2,COL1A1,FOXO1,FOXO3,NOV,NR4A1,THBS1,VEGFA",195 (19)
